Month,d18O,d2H,Amount
7,-4.6,-10,53.1
11,-14.4,-107,53.8
9,-5.1,-33,54.1
8,-3.8,-36,54.4
7,-5.5,-35,54.4
9,-3.4,-35,54.7
10,-7.5,-47,55.0
2,-12.9,-95,55.9
9,-4.8,-38,56.1
8,-3.2,-27,56.6
2,-8.6,-54,56.6
9,-11.6,-78,56.9
1,-10.9,-72,58.4
12,-8.3,-46,58.7
8,-3.0,-23,60.7
3,-7.5,-46,61.5
3,-7.8,-47,64.3
8,-4.9,-36,66.6
12,-10.0,-64,66.8
9,-4.8,-24,67.1
8,-2.0,-5,67.4
7,-11.1,-81,68.1
1,-8.5,-53,68.3
3,-6.7,-35,68.6
9,-3.7,-21,69.9
3,-9.1,-65,70.9
7,-11.8,-86,71.3
8,-4.1,-29,72.8
8,-3.2,-26,73.0
8,-6.9,-51,74.5
9,-6.0,-40,76.2
8,-9.2,-61,76.5
8,-6.0,-56,76.7
8,-6.7,-48,77.2
7,-4.0,-33,77.4
9,-5.5,-18,77.7
7,-4.7,-48,79.3
7,-7.6,-53,79.8
8,-6.3,-49,81.4
3,-9.4,-59,82.0
10,-9.8,-66,82.0
12,-9.9,-69,85.2
8,-1.8,-28,87.7
9,-8.4,-59,87.9
8,-3.8,-21,91.1
8,-2.6,-15,94.5
8,-9.0,-63,99.8
8,-7.2,-51,102.6
12,-9.8,-57,106.9
2,-10.5,-66,108.5
7,-2.1,-35,108.6
8,-4.1,-27,113.3
8,-3.7,-33,113.6
8,-4.3,-26,114.0
12,-12.0,-78,128.4
7,-8.8,-66,130.8
12,-8.0,-44,134.2
12,-17.1,-124,145.0
1,-8.1,-59,151.6
7,-9.2,-64,156.0
7,-6.8,-44,164.8
7,-6.1,-47,172.9
7,-8.5,-56,177.0
9,-9.0,-63,193.0
