"Site","Year","Month","Amount"
"BEAUTIFUL MOUNTAIN",2017,4,20.32
"BEAUTIFUL MOUNTAIN",2017,5,24.892
"BEAUTIFUL MOUNTAIN",2017,6,0.508
"BEAUTIFUL MOUNTAIN",2017,7,28.194
"BEAUTIFUL MOUNTAIN",2017,8,17.018
"BEAUTIFUL MOUNTAIN",2017,9,26.67
"BEAUTIFUL MOUNTAIN",2017,10,0
"BEAUTIFUL MOUNTAIN",2017,11,2.032
"BEAUTIFUL MOUNTAIN",2017,12,2.54
"BEAUTIFUL MOUNTAIN",2017,1,37.338
"BEAUTIFUL MOUNTAIN",2017,2,26.162
"BEAUTIFUL MOUNTAIN",2017,3,12.7
"BEAVER SPRINGS SC",2017,4,38.1
"BEAVER SPRINGS SC",2017,5,48.768
"BEAVER SPRINGS SC",2017,6,1.27
"BEAVER SPRINGS SC",2017,7,120.142
"BEAVER SPRINGS SC",2017,8,18.288
"BEAVER SPRINGS SC",2017,9,25.4
"BEAVER SPRINGS SC",2017,10,7.874
"BEAVER SPRINGS SC",2017,11,2.794
"BEAVER SPRINGS SC",2017,12,5.588
"BEAVER SPRINGS SC",2017,1,139.7
"BEAVER SPRINGS SC",2017,2,119.38
"BEAVER SPRINGS SC",2017,3,73.66
"BIRD SPRINGS",2017,4,0.254
"BIRD SPRINGS",2017,5,19.304
"BIRD SPRINGS",2017,6,4.572
"BIRD SPRINGS",2017,7,33.528
"BIRD SPRINGS",2017,8,17.78
"BIRD SPRINGS",2017,9,5.08
"BIRD SPRINGS",2017,10,0
"BIRD SPRINGS",2017,11,0
"BIRD SPRINGS",2017,12,0
"BIRD SPRINGS",2017,1,11.43
"BIRD SPRINGS",2017,2,19.05
"BIRD SPRINGS",2017,3,8.89
"BITTER SPRINGS",2017,4,0
"BITTER SPRINGS",2017,5,13.208
"BITTER SPRINGS",2017,6,2.032
"BITTER SPRINGS",2017,7,2.032
"BITTER SPRINGS",2017,8,0.508
"BITTER SPRINGS",2017,9,7.62
"BITTER SPRINGS",2017,10,0
"BITTER SPRINGS",2017,11,0
"BITTER SPRINGS",2017,12,0.254
"BITTER SPRINGS",2017,1,17.78
"BITTER SPRINGS",2017,2,24.13
"BITTER SPRINGS",2017,3,26.67
"BLACK CREEK SG",2017,4,1.27
"BLACK CREEK SG",2017,5,21.082
"BLACK CREEK SG",2017,6,4.318
"BLACK CREEK SG",2017,7,38.1
"BLACK CREEK SG",2017,8,23.622
"BLACK CREEK SG",2017,9,24.638
"BLACK CREEK SG",2017,10,2.54
"BLACK CREEK SG",2017,11,2.032
"BLACK CREEK SG",2017,12,1.27
"BLACK CREEK SG",2017,1,32.512
"BLACK CREEK SG",2017,2,13.716
"BLACK CREEK SG",2017,3,56.642
"BLACK HAT WX",2017,4,4.318
"BLACK HAT WX",2017,5,16.51
"BLACK HAT WX",2017,6,10.16
"BLACK HAT WX",2017,7,38.1
"BLACK HAT WX",2017,8,35.052
"BLACK HAT WX",2017,9,29.21
"BLACK HAT WX",2017,10,5.08
"BLACK HAT WX",2017,11,0.508
"BLACK HAT WX",2017,12,0
"BLACK HAT WX",2017,1,29.21
"BLACK HAT WX",2017,2,16.51
