"Site","Year","Month","Amount"
"BLACK HAT WX",2017,3,31.75
"BLUE CANYON DAM",2017,4,9.652
"BLUE CANYON DAM",2017,5,15.748
"BLUE CANYON DAM",2017,6,0
"BLUE CANYON DAM",2017,7,24.892
"BLUE CANYON DAM",2017,8,46.99
"BLUE CANYON DAM",2017,9,31.242
"BLUE CANYON DAM",2017,10,2.032
"BLUE CANYON DAM",2017,11,1.016
"BLUE CANYON DAM",2017,12,2.54
"BLUE CANYON DAM",2017,1,41.91
"BLUE CANYON DAM",2017,2,37.338
"BLUE CANYON DAM",2017,3,21.082
"BLUFF WX",2017,4,8.128
"BLUFF WX",2017,5,13.97
"BLUFF WX",2017,6,3.302
"BLUFF WX",2017,7,13.208
"BLUFF WX",2017,8,7.62
"BLUFF WX",2017,9,2.54
"BLUFF WX",2017,10,2.54
"BLUFF WX",2017,11,0
"BLUFF WX",2017,12,1.016
"BLUFF WX",2017,1,25.4
"BLUFF WX",2017,2,12.7
"BLUFF WX",2017,3,3.81
"BODAWAY / GAP",2017,4,1.016
"BODAWAY / GAP",2017,5,11.938
"BODAWAY / GAP",2017,6,0
"BODAWAY / GAP",2017,7,32.766
"BODAWAY / GAP",2017,8,12.954
"BODAWAY / GAP",2017,9,7.62
"BODAWAY / GAP",2017,10,0
"BODAWAY / GAP",2017,11,0
"BODAWAY / GAP",2017,12,1.27
"BODAWAY / GAP",2017,1,22.86
"BODAWAY / GAP",2017,2,27.178
"BODAWAY / GAP",2017,3,14.224
"BOWL CANYON SC",2017,4,49.022
"BOWL CANYON SC",2017,5,45.72
"BOWL CANYON SC",2017,6,0
"BOWL CANYON SC",2017,7,54.102
"BOWL CANYON SC",2017,8,10.668
"BOWL CANYON SC",2017,9,33.02
"BOWL CANYON SC",2017,10,2.54
"BOWL CANYON SC",2017,11,5.08
"BOWL CANYON SC",2017,12,0
"BOWL CANYON SC",2017,1,140.97
"BOWL CANYON SC",2017,2,25.908
"BOWL CANYON SC",2017,3,50.292
"BOWMAN PARK",2017,4,19.558
"BOWMAN PARK",2017,5,25.4
"BOWMAN PARK",2017,6,2.54
"BOWMAN PARK",2017,7,36.068
"BOWMAN PARK",2017,8,30.48
"BOWMAN PARK",2017,9,21.59
"BOWMAN PARK",2017,10,2.54
"BOWMAN PARK",2017,11,0.508
"BOWMAN PARK",2017,12,0
"BOWMAN PARK",2017,1,55.372
"BOWMAN PARK",2017,2,17.526
"BOWMAN PARK",2017,3,52.832
"BUFFALO PASS",2017,4,68.58
"BUFFALO PASS",2017,5,43.18
"BUFFALO PASS",2017,6,1.778
"BUFFALO PASS",2017,7,92.71
"BUFFALO PASS",2017,8,16.002
"BUFFALO PASS",2017,9,26.162
"BUFFALO PASS",2017,10,6.35
"BUFFALO PASS",2017,11,7.62
"BUFFALO PASS",2017,12,0
"BUFFALO PASS",2017,1,158.75
"BUFFALO PASS",2017,2,66.04
"BUFFALO PASS",2017,3,45.72
"BURNHAM",2017,4,17.272
"BURNHAM",2017,5,37.338
"BURNHAM",2017,6,0
"BURNHAM",2017,7,11.684
"BURNHAM",2017,8,20.828
"BURNHAM",2017,9,9.652
"BURNHAM",2017,10,23.368
"BURNHAM",2017,11,2.032
"BURNHAM",2017,12,0.508
"BURNHAM",2017,1,11.43
"BURNHAM",2017,2,20.828
"BURNHAM",2017,3,11.43
"CAMERON - CHAPTER HOUSE",2017,4,0.762
"CAMERON - CHAPTER HOUSE",2017,5,13.208
"CAMERON - CHAPTER HOUSE",2017,6,0.762
"CAMERON - CHAPTER HOUSE",2017,7,34.798
"CAMERON - CHAPTER HOUSE",2017,8,23.622
"CAMERON - CHAPTER HOUSE",2017,9,6.35
"CAMERON - CHAPTER HOUSE",2017,10,0.508
"CAMERON - CHAPTER HOUSE",2017,11,0
"CAMERON - CHAPTER HOUSE",2017,12,2.286
"CAMERON - CHAPTER HOUSE",2017,1,18.288
"CAMERON - CHAPTER HOUSE",2017,2,22.86
"CAMERON - CHAPTER HOUSE",2017,3,12.7
"CAPTAIN TOM WASH SG",2017,4,40.132
"CAPTAIN TOM WASH SG",2017,5,32.512
"CAPTAIN TOM WASH SG",2017,6,6.858
"CAPTAIN TOM WASH SG",2017,7,33.528
"CAPTAIN TOM WASH SG",2017,8,13.97
"CAPTAIN TOM WASH SG",2017,9,25.908
"CAPTAIN TOM WASH SG",2017,10,0.762
"CAPTAIN TOM WASH SG",2017,11,0
"CAPTAIN TOM WASH SG",2017,12,0
"CAPTAIN TOM WASH SG",2017,1,69.85
"CAPTAIN TOM WASH SG",2017,2,47.244
"CAPTAIN TOM WASH SG",2017,3,24.13
"COALMINE ROAD",2017,4,4.572
"COALMINE ROAD",2017,5,20.32
"COALMINE ROAD",2017,6,2.54
"COALMINE ROAD",2017,7,48.26
"COALMINE ROAD",2017,8,25.4
"COALMINE ROAD",2017,9,24.13
"COALMINE ROAD",2017,10,5.588
"COALMINE ROAD",2017,11,0.762
"COALMINE ROAD",2017,12,0
"COALMINE ROAD",2017,1,76.962
"COALMINE ROAD",2017,2,10.668
"COALMINE ROAD",2017,3,34.29
"COYOTE CANYON",2017,4,17.018
"COYOTE CANYON",2017,5,14.732
"COYOTE CANYON",2017,6,0
"COYOTE CANYON",2017,7,93.98
"COYOTE CANYON",2017,8,64.77
"COYOTE CANYON",2017,9,3.81
"COYOTE CANYON",2017,10,36.83
"COYOTE CANYON",2017,11,0
"COYOTE CANYON",2017,12,2.032
"COYOTE CANYON",2017,1,20.32
"COYOTE CANYON",2017,2,8.89
"COYOTE CANYON",2017,3,30.48
"CRYSTAL SG",2017,4,29.21
"CRYSTAL SG",2017,5,39.116
"CRYSTAL SG",2017,6,0
"CRYSTAL SG",2017,7,85.09
"CRYSTAL SG",2017,8,38.1
"CRYSTAL SG",2017,9,27.94
"CRYSTAL SG",2017,10,0
"CRYSTAL SG",2017,11,0.508
"CRYSTAL SG",2017,12,1.27
"CRYSTAL SG",2017,1,65.532
"CRYSTAL SG",2017,2,14.986
"CRYSTAL SG",2017,3,49.022
"CRYSTAL WX",2017,4,21.082
"CRYSTAL WX",2017,5,38.1
"CRYSTAL WX",2017,6,1.27
"CRYSTAL WX",2017,7,61.722
"CRYSTAL WX",2017,8,13.208
"CRYSTAL WX",2017,9,50.8
"CRYSTAL WX",2017,10,0
"CRYSTAL WX",2017,11,3.302
"CRYSTAL WX",2017,12,0
"CRYSTAL WX",2017,1,79.502
"CRYSTAL WX",2017,2,16.002
"CRYSTAL WX",2017,3,60.198
"DALTON PASS",2017,4,22.352
"DALTON PASS",2017,5,11.938
"DALTON PASS",2017,6,6.35
"DALTON PASS",2017,7,48.26
"DALTON PASS",2017,8,45.72
"DALTON PASS",2017,9,5.842
"DALTON PASS",2017,10,37.338
"DALTON PASS",2017,11,0.254
"DALTON PASS",2017,12,0
"DALTON PASS",2017,1,29.972
"DALTON PASS",2017,2,4.572
"DALTON PASS",2017,3,18.288
"DENNEHOTSO",2017,4,21.59
"DENNEHOTSO",2017,5,20.32
"DENNEHOTSO",2017,6,0.254
"DENNEHOTSO",2017,7,11.684
"DENNEHOTSO",2017,8,28.702
"DENNEHOTSO",2017,9,7.62
"DENNEHOTSO",2017,10,8.636
"DENNEHOTSO",2017,11,1.778
"DENNEHOTSO",2017,12,2.54
"DENNEHOTSO",2017,1,11.43
"DENNEHOTSO",2017,2,10.16
"DENNEHOTSO",2017,3,7.62
"DEZA BLUFF",2017,4,19.558
"DEZA BLUFF",2017,5,33.528
"DEZA BLUFF",2017,6,0
"DEZA BLUFF",2017,7,90.932
"DEZA BLUFF",2017,8,13.208
"DEZA BLUFF",2017,9,33.02
"DEZA BLUFF",2017,10,2.54
"DEZA BLUFF",2017,11,7.112
"DEZA BLUFF",2017,12,0
"DEZA BLUFF",2017,1,87.884
"DEZA BLUFF",2017,2,20.574
"DEZA BLUFF",2017,3,23.622
"DILKON O&M",2017,4,1.778
"DILKON O&M",2017,5,10.668
"DILKON O&M",2017,6,0
"DILKON O&M",2017,7,92.202
"DILKON O&M",2017,8,17.018
"DILKON O&M",2017,9,6.858
"DILKON O&M",2017,10,0
"DILKON O&M",2017,11,0
"DILKON O&M",2017,12,0
"DILKON O&M",2017,1,30.734
"DILKON O&M",2017,2,42.926
"DILKON O&M",2017,3,18.542
"FLUTED ROCK SC",2017,4,25.908
"FLUTED ROCK SC",2017,5,26.67
"FLUTED ROCK SC",2017,6,0
"FLUTED ROCK SC",2017,7,88.9
"FLUTED ROCK SC",2017,8,76.2
"FLUTED ROCK SC",2017,9,33.528
"FLUTED ROCK SC",2017,10,9.652
"FLUTED ROCK SC",2017,11,3.048
"FLUTED ROCK SC",2017,12,2.54
"FLUTED ROCK SC",2017,1,83.058
"FLUTED ROCK SC",2017,2,15.24
"FLUTED ROCK SC",2017,3,84.328
"FOREST LAKE WX",2017,4,1.27
"FOREST LAKE WX",2017,5,13.716
"FOREST LAKE WX",2017,6,3.302
"FOREST LAKE WX",2017,7,24.13
"FOREST LAKE WX",2017,8,12.7
"FOREST LAKE WX",2017,9,5.588
"FOREST LAKE WX",2017,10,19.6342
"FOREST LAKE WX",2017,11,0
"FOREST LAKE WX",2017,12,0
"FOREST LAKE WX",2017,1,40.132
"FOREST LAKE WX",2017,2,22.098
"FOREST LAKE WX",2017,3,30.48
"FORT DEFIANCE - WMB",2017,4,13.716
"FORT DEFIANCE - WMB",2017,5,17.272
"FORT DEFIANCE - WMB",2017,6,10.668
"FORT DEFIANCE - WMB",2017,7,29.21
"FORT DEFIANCE - WMB",2017,8,28.702
"FORT DEFIANCE - WMB",2017,9,20.828
"FORT DEFIANCE - WMB",2017,10,0.508
"FORT DEFIANCE - WMB",2017,11,0.762
"FORT DEFIANCE - WMB",2017,12,0
"FORT DEFIANCE - WMB",2017,1,51.562
"FORT DEFIANCE - WMB",2017,2,10.16
"FORT DEFIANCE - WMB",2017,3,25.908
"FORT WINGATE",2017,4,24.892
"FORT WINGATE",2017,5,30.988
"FORT WINGATE",2017,6,3.81
"FORT WINGATE",2017,7,32.512
"FORT WINGATE",2017,8,33.02
"FORT WINGATE",2017,9,33.02
"FORT WINGATE",2017,10,12.7
"FORT WINGATE",2017,11,1.27
"FORT WINGATE",2017,12,0
"FORT WINGATE",2017,1,22.86
"FORT WINGATE",2017,2,17.78
"FORT WINGATE",2017,3,26.67
"GALLO",2017,4,25.908
"GALLO",2017,5,28.702
"GALLO",2017,6,2.54
"GALLO",2017,7,23.114
"GALLO",2017,8,8.128
"GALLO",2017,9,11.938
"GALLO",2017,10,53.848
"GALLO",2017,11,2.54
"GALLO",2017,12,0
"GALLO",2017,1,22.86
"GALLO",2017,2,8.89
"GALLO",2017,3,14.732
"GANADO 6 NW",2017,4,24.13
"GANADO 6 NW",2017,5,26.67
"GANADO 6 NW",2017,6,1.27
"GANADO 6 NW",2017,7,19.558
"GANADO 6 NW",2017,8,61.468
"GANADO 6 NW",2017,9,24.384
"GANADO 6 NW",2017,10,0.762
"GANADO 6 NW",2017,11,0
"GANADO 6 NW",2017,12,0.762
"GANADO 6 NW",2017,1,33.02
"GANADO 6 NW",2017,2,25.4
"GANADO 6 NW",2017,3,67.31
"GREY MOUNTAIN SUMMIT",2017,4,1.27
"GREY MOUNTAIN SUMMIT",2017,5,19.812
"GREY MOUNTAIN SUMMIT",2017,6,0.508
"GREY MOUNTAIN SUMMIT",2017,7,46.228
"GREY MOUNTAIN SUMMIT",2017,8,41.402
"GREY MOUNTAIN SUMMIT",2017,9,29.21
"GREY MOUNTAIN SUMMIT",2017,10,2.54
"GREY MOUNTAIN SUMMIT",2017,11,0
"GREY MOUNTAIN SUMMIT",2017,12,0
"GREY MOUNTAIN SUMMIT",2017,1,66.548
"GREY MOUNTAIN SUMMIT",2017,2,45.72
"GREY MOUNTAIN SUMMIT",2017,3,24.13
"HARDSCRABBLE",2017,4,16.002
"HARDSCRABBLE",2017,5,29.21
"HARDSCRABBLE",2017,6,0.508
"HARDSCRABBLE",2017,7,16.764
"HARDSCRABBLE",2017,8,36.83
"HARDSCRABBLE",2017,9,15.748
"HARDSCRABBLE",2017,10,7.112
"HARDSCRABBLE",2017,11,0
"HARDSCRABBLE",2017,12,0.508
"HARDSCRABBLE",2017,1,50.038
"HARDSCRABBLE",2017,2,17.526
"HARDSCRABBLE",2017,3,18.8722
"HIDDEN VALLEY SC",2017,4,29.21
"HIDDEN VALLEY SC",2017,5,44.958
"HIDDEN VALLEY SC",2017,6,0
"HIDDEN VALLEY SC",2017,7,67.31
"HIDDEN VALLEY SC",2017,8,20.828
"HIDDEN VALLEY SC",2017,9,32.512
"HIDDEN VALLEY SC",2017,10,0
"HIDDEN VALLEY SC",2017,11,2.54
"HIDDEN VALLEY SC",2017,12,2.54
"HIDDEN VALLEY SC",2017,1,82.55
"HIDDEN VALLEY SC",2017,2,17.78
"HIDDEN VALLEY SC",2017,3,52.07
"HOUCK WX",2017,4,10.16
"HOUCK WX",2017,5,12.954
"HOUCK WX",2017,6,0
"HOUCK WX",2017,7,58.166
"HOUCK WX",2017,8,17.78
"HOUCK WX",2017,9,28.448
"HOUCK WX",2017,10,4.572
"HOUCK WX",2017,11,0.508
"HOUCK WX",2017,12,1.27
"HOUCK WX",2017,1,33.782
"HOUCK WX",2017,2,12.7
"HOUCK WX",2017,3,38.862
"HUBBLE'S TP",2017,4,23.622
"HUBBLE'S TP",2017,5,20.32
"HUBBLE'S TP",2017,6,0
"HUBBLE'S TP",2017,7,39.37
"HUBBLE'S TP",2017,8,98.298
"HUBBLE'S TP",2017,9,19.304
"HUBBLE'S TP",2017,10,9.652
"HUBBLE'S TP",2017,11,0
"HUBBLE'S TP",2017,12,0.508
"HUBBLE'S TP",2017,1,40.64
"HUBBLE'S TP",2017,2,27.94
"HUBBLE'S TP",2017,3,53.848
"INSCRIPTION HOUSE",2017,4,0
"INSCRIPTION HOUSE",2017,5,21.59
"INSCRIPTION HOUSE",2017,6,1.27
"INSCRIPTION HOUSE",2017,7,30.48
"INSCRIPTION HOUSE",2017,8,34.798
"INSCRIPTION HOUSE",2017,9,13.462
"INSCRIPTION HOUSE",2017,10,1.27
"INSCRIPTION HOUSE",2017,11,0
"INSCRIPTION HOUSE",2017,12,0
"INSCRIPTION HOUSE",2017,1,58.928
"INSCRIPTION HOUSE",2017,2,29.21
"INSCRIPTION HOUSE",2017,3,39.37
"KAYENTA PD",2017,4,0.508
"KAYENTA PD",2017,5,15.24
"KAYENTA PD",2017,6,2.54
"KAYENTA PD",2017,7,14.224
"KAYENTA PD",2017,8,16.256
"KAYENTA PD",2017,9,20.32
"KAYENTA PD",2017,10,1.778
"KAYENTA PD",2017,11,0
"KAYENTA PD",2017,12,1.016
"KAYENTA PD",2017,1,23.114
"KAYENTA PD",2017,2,11.938
"KAYENTA PD",2017,3,28.702
"KLAGETOH 9 NE",2017,4,21.59
"KLAGETOH 9 NE",2017,5,27.94
"KLAGETOH 9 NE",2017,6,0
"KLAGETOH 9 NE",2017,7,87.376
"KLAGETOH 9 NE",2017,8,28.194
"KLAGETOH 9 NE",2017,9,49.022
"KLAGETOH 9 NE",2017,10,1.27
"KLAGETOH 9 NE",2017,11,0
"KLAGETOH 9 NE",2017,12,2.54
"KLAGETOH 9 NE",2017,1,30.48
"KLAGETOH 9 NE",2017,2,16.002
"KLAGETOH 9 NE",2017,3,93.98
"LITTLE WHITE CONE",2017,4,37.592
"LITTLE WHITE CONE",2017,5,34.29
"LITTLE WHITE CONE",2017,6,1.524
"LITTLE WHITE CONE",2017,7,76.708
"LITTLE WHITE CONE",2017,8,26.67
"LITTLE WHITE CONE",2017,9,37.592
"LITTLE WHITE CONE",2017,10,1.016
"LITTLE WHITE CONE",2017,11,4.318
"LITTLE WHITE CONE",2017,12,1.27
"LITTLE WHITE CONE",2017,1,87.122
"LITTLE WHITE CONE",2017,2,14.478
"LITTLE WHITE CONE",2017,3,46.482
"LOWER GREASEWOOD",2017,4,3.556
"LOWER GREASEWOOD",2017,5,17.78
"LOWER GREASEWOOD",2017,6,0
"LOWER GREASEWOOD",2017,7,58.928
"LOWER GREASEWOOD",2017,8,35.052
"LOWER GREASEWOOD",2017,9,13.462
"LOWER GREASEWOOD",2017,10,6.35
"LOWER GREASEWOOD",2017,11,0
"LOWER GREASEWOOD",2017,12,0
"LOWER GREASEWOOD",2017,1,19.05
"LOWER GREASEWOOD",2017,2,52.07
"LOWER GREASEWOOD",2017,3,31.242
"MANUELITO-CHAPTER HOUSE",2017,4,8.128
"MANUELITO-CHAPTER HOUSE",2017,5,23.622
"MANUELITO-CHAPTER HOUSE",2017,6,2.286
"MANUELITO-CHAPTER HOUSE",2017,7,35.052
"MANUELITO-CHAPTER HOUSE",2017,8,25.908
"MANUELITO-CHAPTER HOUSE",2017,9,26.162
"MANUELITO-CHAPTER HOUSE",2017,10,0
"MANUELITO-CHAPTER HOUSE",2017,11,1.27
"MANUELITO-CHAPTER HOUSE",2017,12,1.27
"MANUELITO-CHAPTER HOUSE",2017,1,31.242
"MANUELITO-CHAPTER HOUSE",2017,2,14.986
"MANUELITO-CHAPTER HOUSE",2017,3,38.862
"MARSH PASS",2017,4,0
"MARSH PASS",2017,5,19.05
"MARSH PASS",2017,6,9.144
"MARSH PASS",2017,7,29.718
"MARSH PASS",2017,8,27.94
"MARSH PASS",2017,9,13.208
"MARSH PASS",2017,10,2.032
"MARSH PASS",2017,11,2.54
"MARSH PASS",2017,12,0
"MARSH PASS",2017,1,41.91
"MARSH PASS",2017,2,22.098
"MARSH PASS",2017,3,38.862
"MEXICAN SPRINGS",2017,4,3.048
"MEXICAN SPRINGS",2017,5,30.48
"MEXICAN SPRINGS",2017,6,1.27
"MEXICAN SPRINGS",2017,7,33.02
"MEXICAN SPRINGS",2017,8,26.416
"MEXICAN SPRINGS",2017,9,35.814
"MEXICAN SPRINGS",2017,10,1.27
"MEXICAN SPRINGS",2017,11,1.27
"MEXICAN SPRINGS",2017,12,1.27
"MEXICAN SPRINGS",2017,1,17.78
"MEXICAN SPRINGS",2017,2,35.56
"MEXICAN SPRINGS",2017,3,6.604
"MILK MESA",2017,4,22.86
"MILK MESA",2017,5,17.018
"MILK MESA",2017,6,0.762
"MILK MESA",2017,7,25.908
"MILK MESA",2017,8,29.972
"MILK MESA",2017,9,3.81
"MILK MESA",2017,10,44.958
"MILK MESA",2017,11,3.81
"MILK MESA",2017,12,0
"MILK MESA",2017,1,17.018
"MILK MESA",2017,2,5.842
"MILK MESA",2017,3,14.732
"MISSIONARY SPRINGS SC",2017,4,33.02
"MISSIONARY SPRINGS SC",2017,5,36.068
"MISSIONARY SPRINGS SC",2017,6,4.572
"MISSIONARY SPRINGS SC",2017,7,40.386
"MISSIONARY SPRINGS SC",2017,8,4.064
"MISSIONARY SPRINGS SC",2017,9,38.1
"MISSIONARY SPRINGS SC",2017,10,0.508
"MISSIONARY SPRINGS SC",2017,11,4.318
"MISSIONARY SPRINGS SC",2017,12,3.81
"MISSIONARY SPRINGS SC",2017,1,115.062
"MISSIONARY SPRINGS SC",2017,2,18.288
"MISSIONARY SPRINGS SC",2017,3,60.96
"MOUNT POWELL",2017,4,37.592
"MOUNT POWELL",2017,5,12.7
"MOUNT POWELL",2017,6,2.54
"MOUNT POWELL",2017,7,63.5
"MOUNT POWELL",2017,8,33.02
"MOUNT POWELL",2017,9,41.148
"MOUNT POWELL",2017,10,27.94
"MOUNT POWELL",2017,11,0.762
"MOUNT POWELL",2017,12,0
"MOUNT POWELL",2017,1,19.812
"MOUNT POWELL",2017,2,50.038
"MOUNT POWELL",2017,3,22.86
"NAGEEZI",2017,4,17.78
"NAGEEZI",2017,5,39.878
"NAGEEZI",2017,6,5.842
"NAGEEZI",2017,7,29.972
"NAGEEZI",2017,8,66.04
"NAGEEZI",2017,9,5.08
"NAGEEZI",2017,10,39.878
"NAGEEZI",2017,11,0.762
"NAGEEZI",2017,12,0.762
"NAGEEZI",2017,1,29.972
"NAGEEZI",2017,2,12.7
"NAGEEZI",2017,3,24.13
"NAPI WX",2017,4,14.478
"NAPI WX",2017,5,20.828
"NAPI WX",2017,6,1.016
"NAPI WX",2017,7,4.064
"NAPI WX",2017,8,7.62
"NAPI WX",2017,9,6.604
"NAPI WX",2017,10,20.574
"NAPI WX",2017,11,3.302
"NAPI WX",2017,12,0.762
"NAPI WX",2017,1,13.462
"NAPI WX",2017,2,23.368
"NAPI WX",2017,3,16.764
"NAVAJO MTN SCHOOL",2017,4,0
"NAVAJO MTN SCHOOL",2017,5,19.812
"NAVAJO MTN SCHOOL",2017,6,0.508
"NAVAJO MTN SCHOOL",2017,7,39.878
"NAVAJO MTN SCHOOL",2017,8,3.302
"NAVAJO MTN SCHOOL",2017,9,12.446
"NAVAJO MTN SCHOOL",2017,10,0
"NAVAJO MTN SCHOOL",2017,11,2.032
"NAVAJO MTN SCHOOL",2017,12,0.762
"NAVAJO MTN SCHOOL",2017,1,67.31
"NAVAJO MTN SCHOOL",2017,2,44.45
"NAVAJO MTN SCHOOL",2017,3,37.592
"NORTH LEUPP FARM WX",2017,4,0
"NORTH LEUPP FARM WX",2017,5,20.574
"NORTH LEUPP FARM WX",2017,6,0
"NORTH LEUPP FARM WX",2017,7,17.018
"NORTH LEUPP FARM WX",2017,8,16.002
"NORTH LEUPP FARM WX",2017,9,6.858
"NORTH LEUPP FARM WX",2017,10,1.27
"NORTH LEUPP FARM WX",2017,11,0
"NORTH LEUPP FARM WX",2017,12,0
"NORTH LEUPP FARM WX",2017,1,13.97
"NORTH LEUPP FARM WX",2017,2,19.05
"NORTH LEUPP FARM WX",2017,3,10.16
"OAK RIDGE",2017,4,24.892
"OAK RIDGE",2017,5,39.878
"OAK RIDGE",2017,6,0
"OAK RIDGE",2017,7,99.06
"OAK RIDGE",2017,8,48.768
"OAK RIDGE",2017,9,35.052
"OAK RIDGE",2017,10,10.668
"OAK RIDGE",2017,11,5.08
"OAK RIDGE",2017,12,2.54
"OAK RIDGE",2017,1,43.942
"OAK RIDGE",2017,2,15.748
"OAK RIDGE",2017,3,65.532
"OJO ENCINO",2017,4,21.082
"OJO ENCINO",2017,5,33.02
"OJO ENCINO",2017,6,5.08
"OJO ENCINO",2017,7,16.002
"OJO ENCINO",2017,8,72.898
"OJO ENCINO",2017,9,11.43
"OJO ENCINO",2017,10,66.04
"OJO ENCINO",2017,11,0
"OJO ENCINO",2017,12,1.27
"OJO ENCINO",2017,1,33.02
"OJO ENCINO",2017,2,21.59
"OJO ENCINO",2017,3,36.068
"OLJATO - OLD TP",2017,4,3.556
"OLJATO - OLD TP",2017,5,13.97
"OLJATO - OLD TP",2017,6,0
"OLJATO - OLD TP",2017,7,21.082
"OLJATO - OLD TP",2017,8,6.096
"OLJATO - OLD TP",2017,9,15.748
"OLJATO - OLD TP",2017,10,3.302
"OLJATO - OLD TP",2017,11,0
"OLJATO - OLD TP",2017,12,2.286
"OLJATO - OLD TP",2017,1,26.67
"OLJATO - OLD TP",2017,2,12.954
"OLJATO - OLD TP",2017,3,26.67
"PINE SPRINGS",2017,4,23.368
"PINE SPRINGS",2017,5,22.098
"PINE SPRINGS",2017,6,0
"PINE SPRINGS",2017,7,17.526
"PINE SPRINGS",2017,8,58.674
"PINE SPRINGS",2017,9,28.702
"PINE SPRINGS",2017,10,0.762
"PINE SPRINGS",2017,11,0
"PINE SPRINGS",2017,12,1.778
"PINE SPRINGS",2017,1,53.848
"PINE SPRINGS",2017,2,18.288
"PINE SPRINGS",2017,3,46.736
"PITTS RANCH",2017,4,10.16
"PITTS RANCH",2017,5,22.352
"PITTS RANCH",2017,6,0.508
"PITTS RANCH",2017,7,15.748
"PITTS RANCH",2017,8,35.56
"PITTS RANCH",2017,9,3.556
"PITTS RANCH",2017,10,48.26
"PITTS RANCH",2017,11,2.54
"PITTS RANCH",2017,12,1.016
"PITTS RANCH",2017,1,20.32
"PITTS RANCH",2017,2,12.7
"PITTS RANCH",2017,3,5.588
"PUEBLO PINTADO O&M",2017,4,22.352
"PUEBLO PINTADO O&M",2017,5,22.098
"PUEBLO PINTADO O&M",2017,6,3.302
"PUEBLO PINTADO O&M",2017,7,24.13
"PUEBLO PINTADO O&M",2017,8,49.53
"PUEBLO PINTADO O&M",2017,9,9.906
"PUEBLO PINTADO O&M",2017,10,36.576
"PUEBLO PINTADO O&M",2017,11,1.27
"PUEBLO PINTADO O&M",2017,12,0
"PUEBLO PINTADO O&M",2017,1,26.162
"PUEBLO PINTADO O&M",2017,2,12.7
"PUEBLO PINTADO O&M",2017,3,18.796
"ROUND ROCK",2017,4,27.432
"ROUND ROCK",2017,5,19.812
